Time	Wx	Wy	Wz	Temperature
3.958	-0.061	0.000	0.000	29.056
3.968	-0.061	0.000	0.061	29.042
3.978	-0.061	0.000	0.000	29.033
3.988	0.000	-0.061	0.000	29.018
3.998	0.000	0.000	0.061	29.033
4.008	0.000	-0.061	0.061	29.039
4.018	0.000	0.000	-0.061	29.039
4.028	0.000	0.000	-0.061	29.015
4.038	0.000	-0.061	0.000	29.018
4.048	-0.061	-0.061	0.000	29.027
4.058	0.000	-0.061	0.061	29.024
4.067	0.000	0.000	0.061	29.024
4.078	0.000	0.000	0.061	29.027
4.087	0.000	0.000	0.000	29.033
4.097	0.000	-0.061	0.000	29.021
4.107	0.000	0.000	0.122	29.012
4.117	-0.061	0.000	0.000	29.024
4.128	0.000	-0.061	0.000	29.030
4.139	-0.061	0.000	0.122	29.021
4.149	0.000	-0.061	0.000	29.024
4.158	0.061	0.000	0.000	29.018
4.169	0.000	0.000	0.061	29.027
4.178	-0.061	0.000	0.000	29.042
4.188	0.000	0.000	0.000	29.036
4.198	-0.061	0.000	0.000	29.027
4.208	-0.061	0.000	0.000	29.018
4.218	0.061	0.000	0.000	29.024
4.229	0.000	0.000	0.061	29.030
4.238	0.000	0.000	0.000	29.027
4.248	0.000	-0.061	0.000	29.027
4.258	-0.061	-0.061	0.061	29.030
4.268	0.000	-0.061	0.061	29.015
4.279	0.000	0.000	0.122	29.012
4.288	0.000	0.000	0.061	29.027
4.299	0.000	-0.061	-0.061	29.027
4.308	0.000	-0.061	0.061	29.021
4.319	0.000	0.000	0.122	29.021
4.329	0.061	0.000	-0.061	29.021
4.339	0.000	0.000	0.000	29.021
4.349	-0.061	-0.061	0.061	29.024
4.359	0.000	0.000	0.000	29.027
4.369	0.000	0.000	0.061	29.027
4.379	0.061	0.000	0.000	29.030
4.389	0.061	0.000	-0.061	29.039
4.399	0.000	-0.061	0.000	29.024
4.409	-0.061	-0.061	0.000	29.015
4.419	-0.061	-0.061	0.000	29.018
4.429	0.000	0.000	0.061	29.021
4.439	0.000	0.000	0.061	29.021
4.449	0.000	0.000	0.061	29.024
4.460	0.000	-0.061	0.061	29.027
4.470	0.000	-0.061	0.000	29.033
4.480	0.000	-0.061	0.000	29.039
4.490	0.000	-0.061	0.061	29.030
4.500	0.000	-0.061	0.000	29.015
4.510	0.000	0.000	0.000	29.018
4.520	0.000	0.000	0.122	29.030
4.530	0.000	-0.061	0.000	29.042
4.540	0.000	-0.061	0.000	29.030
4.550	0.000	0.000	0.061	29.033
4.560	0.000	0.000	-0.061	29.039
4.570	0.000	0.000	0.000	29.036
4.580	0.000	0.000	0.061	29.042
4.590	0.000	0.000	0.000	29.042
4.600	0.000	0.000	0.000	29.042
4.610	0.000	0.000	0.000	29.042
4.621	0.000	-0.061	0.061	29.045
4.630	0.000	0.000	0.000	29.039
4.640	0.000	0.000	-0.061	29.036
4.650	0.000	0.000	0.061	29.051
4.661	0.000	0.000	0.122	29.036
4.671	0.000	-0.061	0.061	29.027
4.681	0.000	-0.061	0.061	29.030
4.690	0.000	0.000	0.061	29.018
4.701	0.000	0.000	-0.061	29.036
4.711	0.000	0.000	0.000	29.042
4.721	0.000	-0.061	0.061	29.039
4.730	0.000	-0.061	0.000	29.036
4.740	0.000	0.000	0.061	29.045
4.750	0.000	0.000	0.000	29.045
4.760	0.000	0.000	0.000	29.045
4.771	-0.061	0.000	0.061	29.036
4.781	0.000	-0.061	0.000	29.039
4.791	0.000	0.000	0.122	29.048
4.802	0.000	0.000	0.061	29.036
4.811	0.000	-0.061	-0.061	29.024
4.821	0.000	0.000	0.000	29.021
4.831	-0.061	0.000	0.000	29.024
4.841	-0.061	0.000	0.000	29.030
4.851	0.000	0.000	0.061	29.030
4.861	0.000	0.000	0.000	29.027
4.870	0.000	0.000	-0.061	29.033
4.880	-0.061	0.000	0.000	29.039
4.890	0.000	0.000	0.000	29.030
4.900	0.000	0.061	0.061	29.033
4.910	-0.061	0.000	0.061	29.036
4.920	-0.061	0.000	0.000	29.033
4.930	-0.061	0.000	0.000	29.045
4.941	-0.061	0.061	0.061	29.042
4.951	0.000	0.000	0.061	29.048
4.961	0.000	0.000	0.061	29.045
4.971	0.000	-0.061	0.000	29.051
4.981	0.000	-0.061	-0.061	29.048
4.990	0.061	0.000	0.061	29.039
5.000	-0.061	0.061	0.122	29.033
5.010	0.000	0.000	0.061	29.033
5.020	-0.061	0.000	0.000	29.045
5.031	0.000	0.000	0.000	29.048
5.041	0.000	0.000	0.061	29.051
5.051	0.061	0.000	-0.061	29.048
5.061	0.000	0.000	0.061	29.036
5.070	-0.061	0.000	0.061	29.039
5.081	0.000	0.000	0.000	29.030
5.091	0.000	-0.061	0.061	29.033
5.101	0.061	0.000	0.061	29.030
5.111	0.000	-0.061	0.061	29.042
5.121	-0.061	-0.061	0.000	29.048
5.131	-0.061	0.000	0.000	29.033
5.141	-0.061	0.000	0.000	29.036
5.150	0.000	0.000	0.000	29.036
5.161	0.000	0.000	-0.061	29.045
5.171	0.000	0.000	0.061	29.056
5.181	-0.061	0.000	0.061	29.045
5.191	0.000	0.000	0.000	29.039
5.201	0.000	0.000	0.061	29.039
5.211	0.000	0.000	0.061	29.062
5.221	0.000	-0.061	0.000	29.059
5.232	0.000	-0.061	0.061	29.048
5.242	0.000	0.000	0.061	29.051
5.251	-0.061	0.000	0.000	29.042
5.262	0.000	0.000	0.061	29.030
5.271	-0.061	0.000	0.000	29.033
5.281	-0.061	0.000	0.061	29.027
5.292	0.000	0.000	0.122	29.042
5.304	0.000	-0.061	0.000	29.036
5.313	0.000	0.061	0.000	29.042
5.323	0.000	0.000	0.000	29.039
5.333	0.000	0.000	0.000	29.039
5.343	0.000	0.000	0.061	29.051
5.353	-0.061	0.000	0.061	29.042
5.363	0.000	0.000	-0.061	29.039
5.373	0.000	-0.061	0.000	29.042
5.383	0.000	-0.061	0.061	29.045
5.393	0.000	-0.061	0.000	29.059
5.403	0.000	-0.061	0.000	29.051
5.413	0.000	-0.061	0.000	29.048
5.423	0.000	-0.061	0.000	29.048
5.433	0.000	0.000	0.000	29.048
5.443	0.000	-0.061	0.000	29.033
5.453	0.061	0.000	0.000	29.036
5.463	0.000	0.000	0.061	29.039
5.473	-0.061	-0.061	0.000	29.045
5.483	-0.061	-0.061	-0.061	29.030
5.494	-0.061	0.000	0.000	29.024
5.504	0.000	0.000	0.061	29.045
5.513	0.000	0.000	0.061	29.045
5.524	0.000	0.000	0.122	29.048
5.533	0.000	0.000	0.000	29.056
5.544	0.000	-0.061	-0.061	29.059
5.553	-0.061	0.000	0.061	29.048
5.563	0.000	0.000	0.061	29.036
5.573	0.000	0.000	0.061	29.036
5.584	0.000	0.000	0.122	29.048
5.593	0.000	0.000	0.122	29.062
5.602	0.000	0.000	0.000	29.059
5.613	-0.061	0.000	0.061	29.059
