Time	Dx	Dy	Dz	Temperature
4.039	38.276	-62.479	-1.390	29.018
4.048	38.276	-62.479	-1.390	29.027
4.058	38.276	-62.479	-1.390	29.024
4.068	38.271	-62.479	-1.390	29.024
4.078	38.271	-62.479	-1.390	29.027
4.087	38.271	-62.479	-1.390	29.033
4.098	38.276	-62.479	-1.390	29.021
4.108	38.271	-62.479	-1.390	29.012
4.118	38.271	-62.474	-1.390	29.024
4.129	38.271	-62.474	-1.390	29.030
4.140	38.265	-62.474	-1.390	29.021
4.149	38.265	-62.474	-1.390	29.024
4.159	38.265	-62.474	-1.390	29.018
4.169	38.265	-62.474	-1.390	29.027
4.179	38.265	-62.474	-1.390	29.042
4.189	38.265	-62.474	-1.390	29.036
4.199	38.265	-62.474	-1.390	29.027
4.209	38.265	-62.474	-1.390	29.018
4.219	38.265	-62.474	-1.390	29.024
4.229	38.260	-62.474	-1.390	29.030
4.239	38.265	-62.474	-1.390	29.027
4.249	38.260	-62.474	-1.390	29.027
4.259	38.260	-62.474	-1.390	29.030
4.269	38.260	-62.474	-1.390	29.015
4.280	38.260	-62.474	-1.390	29.012
4.289	38.260	-62.474	-1.390	29.027
4.300	38.260	-62.474	-1.390	29.027
4.309	38.260	-62.474	-1.390	29.021
4.320	38.260	-62.474	-1.390	29.021
4.330	38.265	-62.474	-1.390	29.021
4.340	38.265	-62.474	-1.390	29.021
4.350	38.265	-62.479	-1.390	29.024
4.360	38.265	-62.474	-1.390	29.027
4.370	38.265	-62.474	-1.390	29.027
4.380	38.265	-62.474	-1.390	29.030
4.390	38.265	-62.474	-1.390	29.039
4.400	38.265	-62.474	-1.390	29.024
4.410	38.271	-62.474	-1.390	29.015
4.420	38.265	-62.474	-1.390	29.018
4.430	38.265	-62.474	-1.390	29.021
4.440	38.265	-62.468	-1.390	29.021
4.450	38.265	-62.474	-1.390	29.024
4.460	38.265	-62.474	-1.390	29.027
4.471	38.271	-62.474	-1.390	29.033
4.481	38.271	-62.474	-1.390	29.039
4.491	38.265	-62.474	-1.390	29.030
4.501	38.271	-62.479	-1.390	29.015
4.511	38.271	-62.479	-1.390	29.018
4.521	38.271	-62.479	-1.390	29.030
4.530	38.271	-62.479	-1.390	29.042
