Time	Ax	Ay	Az	Temperature
5.010	8.853	2.876	3.627	29.033
5.020	8.848	2.857	3.646	29.045
5.031	8.843	2.857	3.627	29.048
5.041	8.848	2.857	3.622	29.051
5.051	8.843	2.881	3.622	29.048
5.060	8.833	2.876	3.613	29.036
5.070	8.853	2.857	3.632	29.039
5.081	8.848	2.866	3.603	29.030
5.091	8.843	2.866	3.627	29.033
5.101	8.833	2.871	3.613	29.030
5.111	8.819	2.866	3.622	29.042
5.121	8.857	2.890	3.598	29.048
5.130	8.833	2.866	3.627	29.033
5.140	8.838	2.881	3.651	29.036
5.150	8.853	2.866	3.637	29.036
5.161	8.853	2.857	3.603	29.045
5.171	8.853	2.871	3.603	29.056
5.181	8.838	2.881	3.618	29.045
5.191	8.824	2.871	3.594	29.039
5.201	8.843	2.876	3.603	29.039
5.211	8.838	2.881	3.579	29.062
5.221	8.829	2.857	3.613	29.059
5.232	8.838	2.842	3.618	29.048
5.242	8.848	2.847	3.608	29.051
5.251	8.829	2.852	3.627	29.042
5.262	8.862	2.862	3.622	29.030
5.271	8.848	2.876	3.598	29.033
5.281	8.843	2.847	3.651	29.027
5.291	8.862	2.866	3.622	29.042
5.303	8.824	2.885	3.603	29.036
5.312	8.819	2.862	3.608	29.042
5.322	8.843	2.866	3.608	29.039
5.332	8.848	2.852	3.627	29.039
5.342	8.838	2.847	3.661	29.051
5.352	8.838	2.866	3.646	29.042
5.362	8.848	2.857	3.618	29.039
5.372	8.833	2.852	3.613	29.042
5.382	8.838	2.857	3.632	29.045
5.392	8.857	2.866	3.637	29.059
5.402	8.848	2.862	3.646	29.051
5.412	8.838	2.857	3.637	29.048
5.422	8.829	2.876	3.632	29.048
5.432	8.824	2.871	3.632	29.048
5.443	8.824	2.857	3.627	29.033
5.452	8.848	2.871	3.613	29.036
5.462	8.838	2.862	3.622	29.039
5.472	8.848	2.866	3.642	29.045
5.482	8.833	2.876	3.642	29.030
5.493	8.843	2.876	3.618	29.024
5.503	8.838	2.857	3.608	29.045
5.513	8.829	2.857	3.618	29.045
5.523	8.833	2.862	3.622	29.048
5.533	8.833	2.857	3.622	29.056
5.543	8.829	2.862	3.637	29.059
5.553	8.833	2.852	3.637	29.048
5.563	8.829	2.852	3.627	29.036
5.573	8.848	2.842	3.637	29.036
5.583	8.824	2.862	3.646	29.048
5.593	8.829	2.862	3.613	29.062
5.602	8.824	2.871	3.598	29.059
5.612	8.848	2.862	3.622	29.059
5.623	8.838	2.862	3.632	29.056
5.633	8.819	2.842	3.613	29.045
5.642	8.819	2.852	3.637	29.045
5.653	8.838	2.862	3.627	29.045
5.663	8.838	2.866	3.613	29.039
5.673	8.833	2.847	3.608	29.039
5.683	8.848	2.857	3.622	29.042
5.693	8.838	2.862	3.632	29.045
5.703	8.843	2.847	3.646	29.048
5.712	8.843	2.876	3.622	29.045
5.724	8.848	2.862	3.622	29.042
5.734	8.862	2.857	3.608	29.039
5.743	8.857	2.862	3.627	29.033
5.753	8.857	2.871	3.642	29.039
5.763	8.862	2.862	3.584	29.048
5.773	8.848	2.862	3.618	29.039
5.783	8.833	2.871	3.575	29.036
5.793	8.833	2.881	3.589	29.015
5.805	8.838	2.871	3.627	29.021
5.814	8.833	2.876	3.642	29.036
5.823	8.848	2.857	3.608	29.045
5.834	8.853	2.881	3.627	29.039
5.844	8.843	2.866	3.632	29.033
5.854	8.838	2.862	3.622	29.045
5.863	8.857	2.862	3.618	29.054
5.873	8.838	2.866	3.632	29.039
5.884	8.843	2.862	3.618	29.039
5.894	8.838	2.862	3.618	29.042
5.904	8.843	2.857	3.603	29.042
5.914	8.829	2.871	3.627	29.048
5.924	8.833	2.857	3.622	29.045
5.934	8.829	2.857	3.613	29.045
5.944	8.838	2.866	3.613	29.033
5.954	8.838	2.847	3.613	29.030
5.964	8.838	2.857	3.608	29.033
5.974	8.829	2.862	3.642	29.036
5.984	8.824	2.847	3.646	29.042
5.994	8.838	2.866	3.627	29.048
